,Links
0,https://www.evosuite.org/experimental-data/sf110/
1,https://huggingface.co/datasets/nuprl/MultiPL-E
2,https://huggingface.co/datasets/deepmind/code_contests
3,https://github.com/google-deepmind/code_contests
4,https://huggingface.co/datasets/THUDM/humaneval-x
5,https://github.com/THUDM/CodeGeeX/blob/main/codegeex/benchmark/README.md
6,https://github.com/openai/human-eval/tree/master
7,https://github.com/rjust/defects4j
8,https://github.com/microsoft/CodeXGLUE/tree/main/Code-Code/Defect-detection
9,https://huggingface.co/datasets/code_x_glue_cc_defect_detection
10,https://huggingface.co/datasets/nchen909/devign-processed/viewer/default/train
11,https://sites.google.com/view/devign
12,https://github.com/epicosy/devign
13,https://github.com/jkoppel/QuixBugs
14,https://github.com/microsoft/coverage-eval
15,https://github.com/hendrycks/apps
16,https://huggingface.co/datasets/codeparrot/apps
17,https://cloud.google.com/blog/topics/public-datasets/github-on-bigquery-analyze-all-the-open-source-code
18,https://github.com/googleapis/python-bigquery
